TITLE: 04 Source Register
PURPOSE: Register all sources with access grading
STATUS: complete
SCOPE: Opened sources and metadata sources
DEPENDENCIES: 03
KEY_QUESTIONS: What was actually opened?
EVIDENCE_TIER: mixed
SOURCE_IDS_USED: S01-S24
OPEN_ISSUES: Some pages were snippet-only
LAST_UPDATED: 2026-03-31


| source_id | citation_or_document_name | source_type | url | opened_where | access_grade | decisive_for_major_claims | notes_on_limitations |
| S14 | Bianchi et al. 2025 Vulvar Care: Reviewing Concepts in Daily Hygiene | narrative review | https://pmc.ncbi.nlm.nih.gov/articles/PMC12248671/ | crawler | FULL_TEXT_OPENED | NO | Recent review with some useful discussion, but includes strong pro-syndet claims and conflict-of-interest context; use cautiously. |
| S15 | Kline et al. 2019 Repeated vaginal exposures to methylisothiazolinone induce persistent genital pain in mice | preclinical study | https://pubmed.ncbi.nlm.nih.gov/31661848/ | crawler | ABSTRACT_ONLY | NO | Mechanistic caution about MI, not human cleanser-choice evidence. |
| S16 | Foote et al. 2014 Vulvar dermatitis from allergy to moist flushable wipes | case report | https://pubmed.ncbi.nlm.nih.gov/23760148/ | crawler | ABSTRACT_ONLY | NO | Useful illustrative case for isothiazolinone preservative risk. |
| S17 | Case report on anogenital ACD caused by MCI/MI and clotrimazole | case report | https://pubmed.ncbi.nlm.nih.gov/27040872/ | crawler | ABSTRACT_ONLY | NO | Case report, no abstract. Supportive only. |
| S18 | Maintaining vulvar, vaginal and perineal health: Clinical considerations 2024 | review | https://pubmed.ncbi.nlm.nih.gov/38396383/ | crawler | ABSTRACT_ONLY | NO | Abstract-only review; supportive, not decisive. |
| S19 | Gemini.pl current product pages with INCI text | product metadata listing | https://gemini.pl/ | web listing | OFFICIAL_DOCUMENT_OPENED | NO | Used only for current ingredient lists / pH claims / availability. Not efficacy evidence. |
| S20 | DOZ current product pages/search snippets | product metadata listing | https://www.doz.pl/ | web listing | OFFICIAL_DOCUMENT_OPENED | NO | Used for availability, examples, some claims. Not efficacy evidence. |
| S21 | Dr.Max current product pages/search snippets | product metadata listing | https://www.drmax.pl/ | web listing | OFFICIAL_DOCUMENT_OPENED | NO | Used for availability, pH, and limited INCI snippets. |
| S22 | Wapteka current product pages/search snippets | product metadata listing | https://www.wapteka.pl/ | web listing | OFFICIAL_DOCUMENT_OPENED | NO | Used as second-source retail/pharmacy cross-check. |
| S23 | Rossmann search results snippets | retail listing | https://www.rossmann.pl/ | web search snippets | OFFICIAL_DOCUMENT_OPENED | NO | Used for current retail availability only. |
| S24 | Search-result snippets for Polish expert pages on higiena sromu / syndety | discovery snippets | multiple | web search snippets | ABSTRACT_ONLY | NO | Discovery only; not used for major claims unless independently corroborated. |
